time,distance
1464296261.01,90.242
1464296261.02,91.068
1464296261.04,90.724
1464296261.06,90.928
1464296261.08,78.547
1464296261.09,89.399
1464296261.11,91.497
1464296261.13,91.1
1464296261.15,91.117
1464296261.17,91.153
1464296261.18,91.615
1464296261.2,91.153
1464296261.22,91.121
1464296261.24,91.084
1464296261.25,91.1
1464296261.27,90.708
1464296261.29,90.622
1464296261.3,91.562
1464296261.32,90.262
1464296261.34,91.121
1464296261.36,91.035
1464296261.37,91.121
1464296261.39,90.638
1464296261.41,91.047
1464296261.42,91.063
1464296261.44,90.671
1464296261.46,90.691
1464296261.48,91.051
1464296261.49,91.014
1464296261.51,91.906
1464296261.53,91.051
1464296261.55,91.153
1464296261.56,90.74
1464296261.58,74.966
1464296261.6,90.708
1464296261.62,90.687
1464296261.63,91.068
1464296261.65,90.655
1464296261.67,90.687
1464296261.69,90.622
1464296261.7,90.655
1464296261.72,90.311
1464296261.74,91.063
1464296261.75,91.121
1464296261.77,90.74
1464296261.79,90.724
1464296261.81,91.186
1464296261.83,91.137
1464296261.84,91.063
1464296261.86,91.509
1464296261.88,90.704
1464296261.9,91.014
1464296261.91,90.708
1464296261.93,90.998
1464296261.95,90.757
1464296261.97,90.671
1464296261.99,90.311
1464296262.0,91.137
1464296262.02,91.513
1464296262.04,90.691
1464296262.06,90.687
1464296262.08,90.655
1464296262.1,91.599
1464296262.11,90.225
1464296262.13,90.998
1464296262.17,91.632
1464296262.18,92.045
1464296262.2,90.691
1464296262.22,90.675
1464296262.24,91.906
1464296262.25,90.74
1464296262.27,89.8
1464296262.29,109.917
1464296262.31,90.671
1464296262.32,90.262
1464296262.34,91.1
1464296262.36,91.133
1464296262.37,91.1
1464296262.39,91.17
1464296262.41,90.659
1464296262.43,90.225
1464296262.44,91.063
1464296262.46,90.622
1464296262.48,91.137
1464296262.5,91.546
1464296262.51,90.605
1464296262.53,90.638
1464296262.55,91.583
1464296262.57,91.153
1464296262.58,91.063
1464296262.6,91.546
1464296262.62,91.464
1464296262.63,91.153
1464296262.65,91.068
1464296262.67,91.117
1464296262.69,91.031
1464296262.7,90.605
1464296262.72,91.546
1464296262.92,78.617
1464296262.94,90.434
1464296262.95,91.292
1464296262.97,90.021
1464296263.17,89.264
1464296263.37,74.09
1464296263.39,89.677
1464296263.41,90.744
1464296263.42,91.341
1464296263.44,89.726
1464296263.46,88.148
1464296263.47,87.052
1464296263.49,87.036
1464296263.51,86.66
1464296263.53,85.425
1464296263.54,85.494
1464296263.74,64.396
1464296263.94,38.775
1464296264.14,68.427
1464296264.34,65.447
1464296264.36,114.268
1464296264.37,111.647
1464296264.39,67.589
1464296264.4,66.215
1464296264.42,66.473
1464296264.44,65.995
1464296264.64,68.873
1464296264.65,72.234
1464296264.67,72.079
1464296264.87,64.138
1464296264.88,67.282
1464296264.9,66.371
1464296264.91,65.925
1464296264.93,66.816
1464296264.94,66.027
1464296264.96,66.42
1464296264.97,65.684
1464296264.99,64.739
1464296265.0,64.862
1464296265.02,64.535
1464296265.04,63.386
1464296265.05,64.175
1464296265.07,64.67
1464296265.08,64.433
1464296265.1,63.971
1464296265.11,63.23
1464296265.13,63.627
1464296265.15,63.267
